zip,donations,total,NAME,variable,estimate,moe,Donations_Per100
21975,5,163,NA,NA,NA,NA,NA
21991,2,12,NA,NA,NA,NA,NA
21993,19,221,NA,NA,NA,NA,NA
22001,2,11,NA,NA,NA,NA,NA
22014,2,55,NA,NA,NA,NA,NA
22017,1,10,NA,NA,NA,NA,NA
22027,2,250,NA,NA,NA,NA,NA
22042,41,200,NA,NA,NA,NA,NA
22043,10,140,NA,NA,NA,NA,NA
22044,23,467,NA,NA,NA,NA,NA
22045,14,183,NA,NA,NA,NA,NA
22046,5,440,NA,NA,NA,NA,NA
22047,161,7081,NA,NA,NA,NA,NA
22050,1,25,NA,NA,NA,NA,NA
22057,16,250.72000000000003,NA,NA,NA,NA,NA
22061,2,28,NA,NA,NA,NA,NA
22066,1,100,NA,NA,NA,NA,NA
22075,3,63,NA,NA,NA,NA,NA
22076,2,55,NA,NA,NA,NA,NA
22078,20,660,NA,NA,NA,NA,NA
22085,1,13.43,NA,NA,NA,NA,NA
2209,1,20,NA,NA,NA,NA,NA
22093,6,266,NA,NA,NA,NA,NA
22104,2,220,NA,NA,NA,NA,NA
22113,1,3,NA,NA,NA,NA,NA
22114,13,13,NA,NA,NA,NA,NA
22117,1,10,NA,NA,NA,NA,NA
22122,21,920,NA,NA,NA,NA,NA
22124,2,13,NA,NA,NA,NA,NA
22133,22,177.86,NA,NA,NA,NA,NA
22146,5,150,NA,NA,NA,NA,NA
22150,1,10,NA,NA,NA,NA,NA
22157,1,25,NA,NA,NA,NA,NA
22192,1,10,NA,NA,NA,NA,NA
22204,1,47,NA,NA,NA,NA,NA
22205,2,29,NA,NA,NA,NA,NA
22207,2,88.25999999999999,NA,NA,NA,NA,NA
22208,4,125,NA,NA,NA,NA,NA
22209,17,303.0399999999999,NA,NA,NA,NA,NA
22213,3,12,NA,NA,NA,NA,NA
22216,3,60,NA,NA,NA,NA,NA
22218,1,50,NA,NA,NA,NA,NA
22220,3,35,NA,NA,NA,NA,NA
22228,4,69,NA,NA,NA,NA,NA
22234,3,40,NA,NA,NA,NA,NA
22237,1,5,NA,NA,NA,NA,NA
22244,2,150,NA,NA,NA,NA,NA
22286,1,25,NA,NA,NA,NA,NA
22303,5,236.17,NA,NA,NA,NA,NA
22304,3,60,NA,NA,NA,NA,NA
22306,7,150.72,NA,NA,NA,NA,NA
22307,2,3000,NA,NA,NA,NA,NA
22310,9,95,NA,NA,NA,NA,NA
22311,3,505,NA,NA,NA,NA,NA
22314,3,62,NA,NA,NA,NA,NA
22315,3,17,NA,NA,NA,NA,NA
22324,1,500,NA,NA,NA,NA,NA
22401,20,409,NA,NA,NA,NA,NA
22402,15,455,NA,NA,NA,NA,NA
22403,18,638,NA,NA,NA,NA,NA
22407,2,7,NA,NA,NA,NA,NA
22502,18,571,NA,NA,NA,NA,NA
22550,5,20,NA,NA,NA,NA,NA
22551,2,55,NA,NA,NA,NA,NA
22554,2,29,NA,NA,NA,NA,NA
22601,14,226,NA,NA,NA,NA,NA
22602,2,29.64,NA,NA,NA,NA,NA
22613,5,155,NA,NA,NA,NA,NA
22617,21,179,NA,NA,NA,NA,NA
22651,1,3,NA,NA,NA,NA,NA
22654,2,1000,NA,NA,NA,NA,NA
22658,13,130,NA,NA,NA,NA,NA
22661,2,12,NA,NA,NA,NA,NA
22663,5,35,NA,NA,NA,NA,NA
22701,1,10,NA,NA,NA,NA,NA
22702,7,435,NA,NA,NA,NA,NA
22703,16,194,NA,NA,NA,NA,NA
22704,6,118,NA,NA,NA,NA,NA
22714,1,250,NA,NA,NA,NA,NA
22738,8,193,NA,NA,NA,NA,NA
22740,1,48.26,NA,NA,NA,NA,NA
22745,1,15,NA,NA,NA,NA,NA
22750,1,250,NA,NA,NA,NA,NA
22769,9,163.5,NA,NA,NA,NA,NA
22770,1,20,NA,NA,NA,NA,NA
22771,82,1133.18,NA,NA,NA,NA,NA
22774,2,75,NA,NA,NA,NA,NA
22787,3,175,NA,NA,NA,NA,NA
22791,4,60,NA,NA,NA,NA,NA
22793,3,50,NA,NA,NA,NA,NA
22801,5,275,NA,NA,NA,NA,NA
22804,8,160,NA,NA,NA,NA,NA
22807,2,1100,NA,NA,NA,NA,NA
22811,10,500,NA,NA,NA,NA,NA
22815,1,15,NA,NA,NA,NA,NA
22817,7,17200,NA,NA,NA,NA,NA
22842,1,20,NA,NA,NA,NA,NA
22875,1,50,NA,NA,NA,NA,NA
22910,33,12299,NA,NA,NA,NA,NA
22913,13,457,NA,NA,NA,NA,NA
22915,6,330,NA,NA,NA,NA,NA
